handle,name,url,category,kind,languages,why,source_urls,source_methods,source_checked_at,notes
AravSrinivas,Aravind Srinivas,https://x.com/AravSrinivas,founders,person,en,"Поиск с ИИ, информационные продукты и опыт использования приложений.",https://x.com/AravSrinivas/status/1958385027185877066,x-index,2026-09-13,
AxtonLiu,Axton,https://x.com/AxtonLiu,chinese,person,zh,"Использование ИИ-инструментов, автоматизация и практические рабочие процессы.",https://x.com/AxtonLiu/status/2038753399865544778,x-index,2026-09-13,
bcherny,Boris Cherny,https://x.com/bcherny,coding,person,en,Продукты на основе кодирующих агентов и опыт организации разработки.,https://x.com/bcherny/with_replies,x-index,2026-09-13,
camenduru,camenduru,https://x.com/camenduru,creative,person,en,"Материалы для запуска открытых моделей изображений, видео и мультимодальности.",https://hub.docker.com/u/camenduru,owner-link,2026-09-13,
chelseabfinn,Chelsea Finn,https://x.com/chelseabfinn,robotics,person,en,"Обучение роботов, метаобучение и исследования обобщения.",https://x.com/chelseabfinn/status/1894833652145758685,x-index,2026-09-13,
chipro,Chip Huyen,https://x.com/chipro,agents,person,en,"Проектирование ИИ-систем, оценка качества и инженерия приложений на основе моделей.",https://x.com/chipro/status/1186651526338465792,x-index,2026-09-13,
cohere,Cohere,https://x.com/cohere,labs,organization,en,"Корпоративные языковые модели, поиск и материалы по прикладной инженерии.",https://mobile.x.com/cohere/affiliates,x-index,2026-09-13,
DeepLearningAI,DeepLearning.AI,https://x.com/DeepLearningAI,media,organization,en,"Курсы машинного обучения, образование в области ИИ и технологические новости.",https://x.com/DeepLearningAI/status/2023472681442509285,x-index,2026-09-13,Более новые страницы X используют @DeepLearningAI; в старых источниках имя оканчивается подчёркиванием.
deepseek_ai,DeepSeek,https://x.com/deepseek_ai,labs,organization,en,Официальные объявления о моделях и результатах исследований.,https://play.google.com/store/apps/details?hl=en_US&id=com.deepseek.chat,owner-link,2026-09-13,
demishassabis,Demis Hassabis,https://x.com/demishassabis,research,person,en,"Общий искусственный интеллект, научные открытия и достижения исследований.",https://x.com/demishassabis/with_replies?lang=en,x-index,2026-09-13,
Dorialexander,Alexander Doria,https://x.com/Dorialexander,creative,person,en,"Генеративные модели, творчество с ИИ и взгляд на технологии.",https://x.com/Dorialexander/status/2043748441021407320,x-index,2026-09-13,
dotey,宝玉,https://x.com/dotey,chinese,person,zh,"Объяснения технологий ИИ на китайском, практика программирования и переводы материалов.",https://x.com/dotey/status/2034299374172319875,x-index,2026-09-13,
drfeifei,Fei-Fei Li,https://x.com/drfeifei,research,person,en,"Компьютерное зрение, пространственный интеллект и человекоцентричный ИИ.",https://www-cs.stanford.edu/groups/vision/people.html,owner-link,2026-09-13,
DrJimFan,Jim Fan,https://x.com/DrJimFan,robotics,person,en,"Воплощённый ИИ, обучение роботов и исследования симуляции.",https://x.com/DrJimFan/status/1762888644933902681,x-index,2026-09-13,
eladgil,Elad Gil,https://x.com/eladgil,founders,person,en,"ИИ-стартапы, корпоративные приложения и взгляд на технологическую отрасль.",https://x.com/eladgil/status/1828992767336558993,x-index,2026-09-13,
ElevenLabs,ElevenLabs,https://x.com/ElevenLabs,creative,organization,en,"Синтез речи, генерация аудио и новости голосовых агентов.",https://x.com/ElevenLabs/with_replies,x-index,2026-09-13,
emollick,Ethan Mollick,https://x.com/emollick,media,person,en,Эксперименты с генеративным ИИ и наблюдения о работе и образовании.,https://x.com/emollick/status/1836488274333884490,x-index,2026-09-13,
eugeneyan,Eugene Yan,https://x.com/eugeneyan,agents,person,en,"Рекомендательные системы, LLM-приложения и опыт разработки производственных систем.",https://eugeneyan.com/,owner-link,2026-09-13,
fchollet,François Chollet,https://x.com/fchollet,research,person,en,"Глубокое обучение, оценка интеллекта и способность к обобщению.",https://x.com/fchollet/status/2036551534549643444,x-index,2026-09-13,
fofrAI,fofr,https://x.com/fofrAI,creative,person,en,"Практика генерации изображений и видео, эксперименты с открытым кодом.",https://linktr.ee/fofrai,owner-link,2026-09-13,
Francis_YAO_,Yao Fu,https://x.com/Francis_YAO_,llm,person,en,"Обучение языковых моделей, рассуждения и анализ исследований.",https://yaofu.notion.site/,owner-link,2026-09-13,Имя пользователя X сверено со ссылкой в личном блоге и отличается от имени на GitHub.
GaryMarcus,Gary Marcus,https://x.com/GaryMarcus,media,person,en,"Критический анализ возможностей, ограничений и надёжности ИИ.",https://x.com/GaryMarcus/status/1684415274500644867,x-index,2026-09-13,
geoffreyhinton,Geoffrey Hinton,https://x.com/geoffreyhinton,research,person,en,"Основы глубокого обучения, возможности моделей и риски ИИ.",https://x.com/geoffreyhinton/with_replies,x-index,2026-09-13,
ggerganov,Georgi Gerganov,https://x.com/ggerganov,infra,person,en,"Локальный инференс, квантование и легковесные среды выполнения моделей.",https://x.com/ggerganov/status/1952978670328660152,x-index,2026-09-13,
goodfellow_ian,Ian Goodfellow,https://x.com/goodfellow_ian,research,person,en,"Глубокое обучение, генеративные модели и исследования машинного обучения.",https://x.com/goodfellow_ian/status/1554836790736916480,x-index,2026-09-13,
GoogleAI,Google AI,https://x.com/GoogleAI,labs,organization,en,"Официальные новости об исследованиях ИИ, инструментах и продуктах.",https://x.com/GoogleAI/status/1858961530009657760,x-index,2026-09-13,
GoogleDeepMind,Google DeepMind,https://x.com/GoogleDeepMind,robotics,organization,en,"Мультимодальные модели, робототехника и достижения исследований ИИ.",https://x.com/GoogleDeepMind/status/2014352832099487989,x-index,2026-09-13,
Gorden_Sun,Gorden Sun,https://x.com/Gorden_Sun,chinese,person,zh,"Подборки новостей об ИИ-моделях, продуктах и инструментах на китайском языке.",https://x.com/Gorden_Sun/with_replies?lang=fr,x-index,2026-09-13,
HamelHusain,Hamel Husain,https://x.com/HamelHusain,agents,person,en,"Оценка LLM, анализ ошибок и практика разработки приложений.",https://x.com/HamelHusain/status/2027886222161678845,x-index,2026-09-13,
hausman_k,Karol Hausman,https://x.com/hausman_k,robotics,person,en,Базовые модели для робототехники и универсальное обучение роботов.,https://karolhausman.github.io/,owner-link,2026-09-13,
huggingface,Hugging Face,https://x.com/huggingface,infra,organization,en,"Модели, наборы данных, открытые библиотеки и проекты сообщества.",https://x.com/huggingface/with_replies,x-index,2026-09-13,
hwchase17,Harrison Chase,https://x.com/hwchase17,agents,person,en,"Оркестрация агентов, вызов инструментов и экосистема LangChain.",https://x.com/hwchase17/status/2026313732947943877,x-index,2026-09-13,
ilyasut,Ilya Sutskever,https://x.com/ilyasut,research,person,en,Мнения из первых рук об исследованиях глубокого обучения и возможностях моделей.,https://x.com/ilyasut/with_replies,x-index,2026-09-13,
JayAlammar,Jay Alammar,https://x.com/JayAlammar,llm,person,en,"Наглядные объяснения трансформеров, эмбеддингов и языковых моделей.",https://jalammar.github.io/,owner-link,2026-09-13,
jerryjliu0,Jerry Liu,https://x.com/jerryjliu0,agents,person,en,"Поиск данных, базы знаний и экосистема LlamaIndex.",https://x.com/jerryjliu0/status/2041211035160600862,x-index,2026-09-13,
jxnlco,Jason Liu,https://x.com/jxnlco,agents,person,en,"Структурированное извлечение данных, рабочие процессы LLM и практика оценки качества.",https://x.com/jxnlco/status/2037968924499992786,x-index,2026-09-13,
karpathy,Andrej Karpathy,https://x.com/karpathy,research,person,en,"Подробные объяснения нейросетей, обучения моделей и программирования с ИИ.",https://x.com/karpathy/with_replies,x-index,2026-09-13,
LangChainAI,LangChain,https://x.com/LangChainAI,infra,organization,en,"Фреймворки агентов, интеграции инструментов и инженерные руководства.",https://x.com/LangChainAI/status/1873041238087352629,x-index,2026-09-13,
LatentSpacePod,Latent Space,https://x.com/LatentSpacePod,media,media,en,"Интервью с ИИ-инженерами, технические дискуссии и материалы сообщества.",https://x.com/latentspacepod/status/2036174018747965657,x-index,2026-09-13,
leerob,Lee Robinson,https://x.com/leerob,coding,person,en,"Веб-инженерия, инструменты ИИ для разработчиков и практические руководства.",https://x.com/leerob/with_replies;https://x.com/leeerob/with_replies,x-index;owner-link,2026-09-13;2026-09-13,"В профиле старого аккаунта @leeerob указано, что он переехал на @leerob."
levelsio,Pieter Levels,https://x.com/levelsio,founders,person,en,"Независимая разработка, создание и эксплуатация ИИ-продуктов.",https://levels.io/i-dont-write-code-anymore,owner-link,2026-09-13,
lexfridman,Lex Fridman,https://x.com/lexfridman,media,person,en,Интервью с исследователями технологий и развёрнутые технические беседы.,https://x.com/lexfridman/status/1854239565935972380,x-index,2026-09-13,
lijigang,李继刚,https://x.com/lijigang,chinese,person,zh,"Проектирование промптов, языковое выражение и эксперименты со взаимодействием с ИИ.",https://x.com/lijigang/status/1899302493852705043,x-index,2026-09-13,
llama_index,LlamaIndex,https://x.com/llama_index,infra,organization,en,"Поисковое дополнение генерации, подключение данных и материалы по агентным приложениям.",https://x.com/llama_index/status/2052056007954837865,x-index,2026-09-13,
mattshumer_,Matt Shumer,https://x.com/mattshumer_,coding,person,en,"Применение ИИ-инструментов, рабочие процессы агентов и эксперименты с продуктами.",https://x.com/mattshumer_/status/2046284453123879421,x-index,2026-09-13,
MelMitchell1,Melanie Mitchell,https://x.com/MelMitchell1,research,person,en,"Концепции ИИ, рассуждения по аналогии и границы возможностей моделей.",https://x.com/MelMitchell1/status/1920564159286071455,x-index,2026-09-13,В качестве подтверждения доступна старая публикация; недавняя частота публикаций не проверялась.
MistralAI,Mistral AI,https://x.com/MistralAI,labs,organization,en,"Официальные выпуски моделей, API для разработчиков и продуктов развёртывания.",https://x.com/MistralAI/with_replies,x-index,2026-09-13,
MIT_CSAIL,MIT CSAIL,https://x.com/MIT_CSAIL,labs,organization,en,"Публикации об исследованиях информатики, ИИ и робототехники.",https://x.com/MIT_CSAIL/status/1609233205126627330,x-index,2026-09-13,
mntruell,Michael Truell,https://x.com/mntruell,coding,person,en,Редакторы с ИИ и новые подходы к разработке программного обеспечения.,https://x.com/mntruell/with_replies,x-index,2026-09-13,
multimodalart,Apolinário Passos,https://x.com/multimodalart,creative,person,en,"Открытые генеративные модели, творческие демонстрации и проекты сообщества.",https://x.com/multimodalart/with_replies,x-index,2026-09-13,
mustafasuleyman,Mustafa Suleyman,https://x.com/mustafasuleyman,founders,person,en,"ИИ-продукты, взаимодействие человека с компьютером и взгляд на отрасль.",https://x.com/mustafasuleyman/with_replies,x-index,2026-09-13,
natolambert,Nathan Lambert,https://x.com/natolambert,llm,person,en,"Постобучение моделей, обучение на предпочтениях и исследования открытых моделей.",https://x.com/natolambert/status/1931017013419520063,x-index,2026-09-13,
nutlope,Hassan El Mghari,https://x.com/nutlope,coding,person,en,"ИИ-приложения с открытым кодом, веб-примеры и руководства по разработке.",https://x.com/nutlope/status/2041199444855492790,x-index,2026-09-13,
NVIDIAAI,NVIDIA AI,https://x.com/NVIDIAAI,labs,organization,en,"Вычисления для ИИ, развёртывание моделей и инструменты разработчика.",https://www.nvidia.com/en-gb/contact/social/,owner-link,2026-09-13,
ollama,Ollama,https://x.com/ollama,infra,organization,en,"Инструменты запуска локальных моделей, примеры интеграции и сведения о выпусках.",https://x.com/ollama/status/2041610283152797818,x-index,2026-09-13,
omarsar0,Elvis Saravia,https://x.com/omarsar0,llm,person,en,"Промпт-инжиниринг, статьи о LLM и учебные материалы для разработчиков.",https://x.com/omarsar0/status/2029992986113900871,x-index,2026-09-13,
op7418,歸藏,https://x.com/op7418,chinese,person,zh,"Рабочие процессы создания изображений, видео и дизайна с ИИ на китайском языке.",https://x.com/op7418/status/2034069787719176219?lang=en,x-index,2026-09-13,
OpenAI,OpenAI,https://x.com/OpenAI,labs,organization,en,"Официальные публикации о моделях, платформах для разработчиков и исследованиях.",https://x.com/OpenAI/status/2041581000120267067,x-index,2026-09-13,
oran_ge,Orange AI,https://x.com/oran_ge,chinese,person,zh,"ИИ-продукты, стартапы и сценарии применения.",https://x.com/oran_ge/with_replies,x-index,2026-09-13,
Physical_Int,Physical Intelligence,https://x.com/Physical_Int,robotics,organization,en,Базовые модели для роботов и новости исследований манипуляции объектами.,https://x.com/physical_int/with_replies,x-index,2026-09-13,
pika_labs,Pika,https://x.com/pika_labs,creative,organization,en,Инструменты создания видео с ИИ и официальные примеры.,https://x.com/pika_labs/status/1955007670462853355,x-index,2026-09-13,
rasbt,Sebastian Raschka,https://x.com/rasbt,llm,person,en,Объяснения обучения языковых моделей и методов машинного обучения на примерах кода.,https://x.com/rasbt/status/1684902178509504512,x-index,2026-09-13,
rauchg,Guillermo Rauch,https://x.com/rauchg,coding,person,en,"Веб-разработка, интерфейсы ИИ-приложений и платформы для разработчиков.",https://x.com/rauchg/status/2041883605711122488,x-index,2026-09-13,
replicate,Replicate,https://x.com/replicate,creative,organization,en,"API для моделей, генеративные приложения и примеры разработки.",https://x.com/replicate/with_replies,x-index,2026-09-13,
runwayml,Runway,https://x.com/runwayml,creative,organization,en,"Генерация и редактирование видео, выпуски творческих инструментов.",https://x.com/runwayml/status/1978540989925949532,x-index,2026-09-13,
sama,Sam Altman,https://x.com/sama,founders,person,en,"ИИ-продукты, развитие отрасли и направления технологий.",https://x.com/sama/with_replies?lang=en,x-index,2026-09-13,
sarah_edo,Sarah Drasner,https://x.com/sarah_edo,coding,person,en,"Разработка ПО, опыт разработчика и программирование с помощью ИИ.",https://github.com/sdras,owner-link,2026-09-13,
saranormous,Sarah Guo,https://x.com/saranormous,founders,person,en,"ИИ-стартапы, продукты и интервью об отрасли.",https://x.com/saranormous/with_replies,x-index,2026-09-13,
seb_ruder,Sebastian Ruder,https://x.com/seb_ruder,llm,person,en,"Обработка естественного языка, многоязычные модели и обзоры исследований.",https://twitter.com/seb_ruder/with_replies?lang=en,x-index,2026-09-13,
SerranoAcademy,Luis Serrano,https://x.com/SerranoAcademy,llm,person,en,Интуитивные примеры для изучения машинного обучения и генеративного ИИ.,https://linktr.ee/luisgserrano,owner-link,2026-09-13,
sh_reya,Shreya Shankar,https://x.com/sh_reya,agents,person,en,"Системы данных, оценка LLM и исследования сотрудничества человека с ИИ.",https://x.com/sh_reya/status/1889000744982098087,x-index,2026-09-13,
shao__meng,meng shao,https://x.com/shao__meng,chinese,person,zh,"Статьи о LLM, инструменты разработчика и материалы об ИИ-продуктах.",https://x.com/shao__meng/status/1931557749877543325,x-index,2026-09-13,
simonw,Simon Willison,https://x.com/simonw,agents,person,en,"Практические испытания LLM-инструментов, инъекции промптов и заметки о разработке ПО.",https://x.com/simonw/with_replies,x-index,2026-09-13,
srush_nlp,Alexander Rush,https://x.com/srush_nlp,llm,person,en,"Обработка естественного языка, эффективность моделей и исследовательские инструменты.",https://x.com/srush_nlp/with_replies,x-index,2026-09-13,
StabilityAI,Stability AI,https://x.com/StabilityAI,labs,organization,en,"Открытые генеративные модели, инструменты изображений и новости медиа.",https://x.com/StabilityAI/with_replies,x-index,2026-09-13,
StanfordHAI,Stanford HAI,https://x.com/StanfordHAI,labs,organization,en,Исследования человекоцентричного ИИ и обсуждение политики.,https://x.com/StanfordHAI/with_replies,x-index,2026-09-13,
steipete,Peter Steinberger,https://x.com/steipete,coding,person,en,"Кодирующие агенты, инструменты разработчика и рабочие процессы реальных проектов.",https://x.com/steipete/status/2026135884815306950,x-index,2026-09-13,
svlevine,Sergey Levine,https://x.com/svlevine,robotics,person,en,"Управление роботами, обучение с подкреплением и обучающиеся агенты.",https://x.com/svlevine/status/1665127336033894400,x-index,2026-09-13,
swyx,Shawn Wang,https://x.com/swyx,agents,person,en,"Экосистема ИИ-инженерии, практика создания агентов и интервью с разработчиками.",https://swyx.io/,owner-link,2026-09-13,
TechCrunch,TechCrunch,https://x.com/TechCrunch,media,media,en,"Новости технологических компаний, ИИ-продуктов и стартапов.",https://x.com/TechCrunch/with_replies,x-index,2026-09-13,
Teknium,Teknium,https://x.com/Teknium,infra,person,en,"Открытые модели, наборы инструкций и практика обучения моделей.",https://github.com/teknium1,owner-link,2026-09-13,Личный профиль GitHub ссылается на @Teknium. Старое имя @Teknium1 не используется как текущая ссылка.
TheSequenceAI,The Sequence,https://x.com/TheSequenceAI,media,media,en,"Подборки материалов об исследованиях ИИ, моделях и технологических тенденциях.",https://thesequence.substack.com/p/follow-us-on-twitter,owner-link,2026-09-13,
TheTuringPost,Turing Post,https://x.com/TheTuringPost,media,media,en,Рассылка с объяснениями исследований машинного обучения и ИИ-инженерии.,https://x.com/TheTuringPost/with_replies,x-index,2026-09-13,
Thom_Wolf,Thomas Wolf,https://x.com/Thom_Wolf,infra,person,en,"Открытые модели, инструменты машинного обучения и исследовательская экосистема.",https://x.com/Thom_Wolf/status/2041217780515565676,x-index,2026-09-13,
tibo_maker,Tibo,https://x.com/tibo_maker,founders,person,en,"Независимые продукты, ИИ-инструменты и процесс разработки.",https://x.com/tibo_maker/status/1953750606738309211,x-index,2026-09-13,
trq212,Thariq Shihipar,https://x.com/trq212,coding,person,en,"Инструменты ИИ-программирования, проектирование взаимодействия и практика использования агентов.",https://www.linkedin.com/posts/thariqshihipar_thariq-trq212-on-x-activity-7386548104612757504-ACdH,owner-link,2026-09-13,
vista8,向阳乔木,https://x.com/vista8,chinese,person,zh,"Опыт использования ИИ-продуктов, рабочие процессы и практика программирования.",https://x.com/vista8/with_replies,x-index,2026-09-13,
vllm_project,vLLM,https://x.com/vllm_project,infra,organization,en,"Высокопроизводительное обслуживание моделей, движки инференса и выпуски.",https://x.com/vllm_project/with_replies,x-index,2026-09-13,
xiaohu,小互,https://x.com/xiaohu,chinese,person,zh,"ИИ-видео, творческие инструменты и примеры технологических продуктов.",https://x.com/xiaohu/status/2042224444207480988,x-index,2026-09-13,
ylecun,Yann LeCun,https://x.com/ylecun,research,person,en,"Обсуждение обучения представлений, моделей мира и направлений исследований ИИ.",https://x.com/ylecun/status/2042347532043395226;https://yann.lecun.org/,x-index;owner-link,2026-09-13;2026-09-13,"На личном сайте указано, что оригинальных публикаций в X стало меньше: в основном он делится ссылками и репостами. Можно также читать его сайт."
